ID,Name,City,Latitude,Longitude,Elevation
abee,Two22 Brew,Centennial,39°38'07" N, 104°45'32" W,5872
abellend,Mad Jacks Mountain Brewery,Bailey,39°24'05" N, 105°28'37" W,9580
acwatson,Equinox Brewing,Fort Collins,40°35'17" N, 105°4'26" W,4988
acyaeger,Elevation Beer Company,Salida,38°31'06" N,106°03'32" W,9317
adamep3,Echo Brewing Company,Frederick,40°06'24" N,104°56'43" W,6791
adnewman,4 Noses Brewing Company,Broomfield,39°54'23" N,105°05'54" W,5491
adolan5,Moonlight Pizza & Brewery,Salida,38°32'05.0" N, 105°59'35.0" W,7152
afinnman,Funkwerks,Fort Collins,40°34'59.13" N, 105°2'31.41" W,4924
alnolte,Carver Brewing Company,Durango,37°16'42" N, 102°52'53" W,8465
andrewpj,Backcountry Brewery,Frisco,39°34'41" N, 106°05'39" W,9974
anewlon,TRVE Brewing Company,Denver,39°43'11.6" N, 104°59'15.7" W,5282
apmiller,Rally King Brewing,Fort Collins,40°33'58.01" N,105°03'24.29" W,4961
arielliu,Cant Stop Brewing,Denver,39°42'43" N, 105°00'45" W,7054
arivacca,Whistle Pig Brewing Company,Colorado Springs,38°55'07" N, 104°47'33" W,8497
ashellum,Avalanche Brewing Company,Silverton,37°48'36.72"N,107°39'52.2"W,9318
awdennis,Zwei Brewing Company,Fort Collins,40°31'04" N,105°04'42" W,5118
bjwellsi,10 Barrel Brewing,Denver,39°45'15" N,104°59'06" W,7054
bkkammer,Left Hand Brewing Company,Longmont,40°09'31.3" N, 105°06'54.3" W,4984
burtar,Fort Collins Brewery,Fort Collins,40°35'22" N,105°03'48" W,5052
bwhua,Carbondale Beer Works,Carbondale,39°40'07" N,107°21'31" W,6181
ccclark,Elk Mountain Brewing Company,Parker,39°31'37" N,104°36'14" W,6004
cjschaff,Asher Brewing Company,Boulder,40°03'36" N, 105°12'21" W,7776
cluark,Great Divide Brewing Company,Denver,39°45'13.71" N, 104°59'18.70" W,5220
codyp424,Black Bottle Brewery,Fort Collins,40°33'59" N,105°04'43" W,5118
ctunnell,Blue Moon Brewing Company,Denver,39°46'40" N, 104°58'48" W,5300
cwesterm,Avery Brewing Company,Boulder,40°03'45.2" N, 105°12'17.1" W,5188
cwlarson,Spice Trade Brewery,Arvada,39°48'08" N, 105°05'02" W,5446
dcanby,Fiction Beer Company,Denver,39°44'25" N,104°54'19" W,5278
dmod,Horse & Dragon Brewing Company,Fort Collins,40°35'23" N, 105°02'44" W,5072
drewjj,High Hops Brewery,Windsor,40°28'50.5" N, 104°56'08.0" W,4797
eajohns,The Eldo Brewery,Crested Butte,38°52'12" N,106°59'12" W,8923
eholmgre,Periodic Brewing,Leadville,39°14'58.4" N,106°17'28.8" W,10152
ejrober,105 West Brewing Company,Castle Rock,39°22'33" N, 104°52'03" W,8038
emcintos,Upslope Brewing Company,Boulder,40°1'12.5826" N, 105°13'5.415" W,5236
erinmfaw,Odyssey Beerwerks,Arvada,39°48'16" N, 105°03'48" W,5273
evansalz,Lone Tree Brewing Company,Lone Tree,39°33'45" N, 104°53'34" W,5873
gd1035,Crooked Stave,Denver,39°46'24" N,104°58'42" W,7054
granchho,New Belgium Brewing Company,Fort Collins,40°35'35.12" N, 105°4'8.51" W,5003
habeeb,Some Place Else Brewery,Arvada,39°47'30.08" N, 105°4'3.73" W,6430
haynes21,Horsefly Brewing Company,Montrose,38°28'39" N,107°52'16" W,5906
hkgomoll,Gilded Goat Brewing Company,Fort Collins,40°32'21.48" N,105°4'31.08" W,5003
idkirk,Dry Dock Brewing Company,Aurora,39°39'9.55" N,104°48'44.77" W,5033
jbcarter,Phantom Canyon Brewing,Colorado Springs,38°50'03" N, 104°49'29" W,7907
jdepoiii,Crooked Stave,Denver,39°46'06" N, 104°58'46" W,5237
jdix,Barnett & Sons Brewing,Parker,39°31'20" N,104°46'30" W,5869
jdorcey,Wonderland Brewing Company,Broomfield,39°54'47.96" N,105°03'21.09" W,5293
jewett,Resolute Brewing Company,Centennial,39°35'05" N,104°53'05" W,5807
jflack,Yampa Valley Brewing Company,Hayden,40°29'44.8" N, 107°15'27.5" W,6434
jhornbak,Verboten Brewing and Barrel Project,Loveland,40°23'48.4"N,105°04'30.30"W,4985
jhpokors, 4Bs Brewery,Cedaredge,38°54'01" N,107°55'43" W,6430
jjmau14,Grimm Brothers Brewhouse,Loveland,40°23'48.34" N, 105°2'49" W, 4951
jllewis,Coopersmiths Pub and Brewing,Fort Collins,40°35'14.60" N, 105°04'32.36" W, 5007
joshlutz,Meadery of the Rockies,Palisade,39°06'13" N, 108°21'35" W,6562
josiahm,Paradox Beer Company Inc,Divide,38°56'31" N,105°9'28" W, 9165
jtgreen,Horsefly Brewing Company,Montrose,38°48'28" N, 107°87'14" W, 5808
jweidenf,Manitou Brewing Company,Manitou Springs,38°51'23" N, 104°55'19" W,8201
kegan21,Strange Brewing Company,Denver,39°44'27" N, 105°00'32" W,7054
kenhicks,Kokopelli Brewing Company,Westminster,39°51'30" N, 105°3'55" W,7316
kevall,Dodgeton Creek Brewing,Trinidad,37°13'5.16" N, 104°29'25.44" W,6010
kevincb,New Planet Beer,Boulder,40°04'23" N,105°12'03" W,7743
kiram15,Mountain Toad Brewing,Golden,39°45'28" N, 105°13'28" W,5774
kjo124,Animas Brewing Company,Durango,37°16'47.8" N, 107°52'36.7" W,6889
koti,Glenwood Canyon Brewing Company,Glenwood Springs,39°32'51" N,107°19'23" W,5770
ktgrifin,Wild Woods Brewery,Boulder,40°0'58" N,105°13'33" W,5231
lexgarr,Lowdown Brewing,Denver,39°43'45.50" N, 104°59'9.00" W,5262
ltfurst,Oskar Blues,Lyons,40°13'27.48" N, 105°16'6.96" W,5371
luhan,Oskar Blues Brewery,Longmont,40°08'20.7" N,105°07'22.4" W,4984
lyzhu,Brues Alehouse Brewing Company,Pueblo,38°15'55.5" N, 104°36'35.0" W,4652
maloneml,Living The Dream Brewing,Highlands Ranch,39°32'25.188" N,105°2'23.388" W,1678
malsip,Blue Spruce Brewing company,Centennial,39°34'01.0"N, 104°56'23.7"W,5830
markss,Big Beaver Brewing Company,Loveland,40°24'28.9"N, 105°06'52.1"W,5150
mattheil,Budweiser Brewery,Fort Collins,40°37'02.4" N, 105°00'17.5" W,5021
maxsatt,Hideaway Park Brewery,Winter Park,39°55'04" N, 105°47'02" W,8818
mazziac,7 Hermits Brewing Company,Eagle,39°38'28" N, 106°49'50" W,6693
mcpher19,Epic Brewing Company,Denver,39°45'47" N,104°58'52" W,5282
mikelynn,WynKoop Brewing Company,Denver,39°46'37" N, 104°58'47.06" W,5189
milowang,Lost Highway Brewery,Loveland,39°36'06" N,104°50'25" W,5774
mj259,SnowBank Brewing,Fort Collins,40°35'24" N, 105°3'31.32" W,5003
mjgaffne,Liquid Mechanics Brewing Company,Lafayette,39°59'57" N, 105°06'12" W,5314
mjrerle,Brix Taphouse & Brewery,Greeley,40°25'30" N,104°41'29" W,5191
mlwells,Fieldhouse Brewing Company,Colorado Springs,38°49'33" N, 104°49'25" W,6069
mlyonsru,J. Fargos Restaurant & Microbrewery,Cortez,37°20'54" N,108°34'13" W,6145
mrouault,Shoes and Brews,Longmont,40°09'10" N,105°06'27" W,4970
myou,4 Noses Brewing Company,Broomfield,39°54'23.23" N, 105°05'54.94" W,5509
ndbart,Hall Brewing,Parker,40°00'59.1" N,105°13'36" W,5229
nguyenkd,Breckenridge Brewery, Littleton, 39°35'37.68" N,105°1'25.55" W,5351
nkacirek,Estes Park Brewery,Estes Park,40°22'17.1084" N, 105°31'34.0356" W,7522
nsunny,Ourayle House Brewery,Ouray,38°01'25" N,107°40'20" W,7756
pbivrell,12 Degree Brewing,Louisville,39°58'41.77" N,105°7'54.26" W,7086
plhager,WeldWerks Brewing Company,Greeley,40°25'41" N, 104°41'26" W,4656
powhound,Lariat Lodge Brewing Co.,Evergreen,39°38'28" N,105°18'31" W,8891
rcox,Odd 13 Brewing,Lafayette,40°54'54" N, 105°05'16" W,5280
retzlaff,SKA Brewing Company,Durango,37°14'19.69" N, 107°52'34.14" W,6565
rfigue,Resolute Brewing Company,Centennial,39°35'01" N,104°53'04" W,5872
rmwillia,Station 26 Brewing,Denver,39°46'10" N,104°54'21" W,5249
rschlac,Southpark Brewing Company,Fairplay,39°13'22" N,105°59'13" W,9974
sahandri,Broken Compass Brewing,Breckenridge, 39°30'53" N, 106°03'12" W,9451
shawtm,Ratio Beerworks,Denver,39°45'41.42" N, 104°58'51.86" W,5201
skunberg, McClellans Brewing Company,Fort Collins,40°34'21.94" N, 105°6'55.63" W,5086
smithza,Grand Lake Brewing Company,Denver,39°45'13.7" N, 104°59'18.7" W,5213
sporsche,Prost Brewing Company,Denver,39°45'41" N,105°00'24" W,5214
sstobbs,Blue Spruce Brewing Company,Centennial,39°33'58.03" N, 104°56'24.61" W,5711
tanishk, Ursula Brewery,Aurora,39°44'35" N, 104°50'16" W,7217
treslar,Nighthawk Brewery,Broomfield,39°55'14.849" N, 105°6'4.599" W,5443
treyyu28, Red Leg Brewing Company, Colorado Springs, 38°53'53"N, 104°50'29"W, 6299
tstroup,The Bakers Brewery,Silverthorne,39°37'47" N,106°04'03" W,9022
twe,Bristol Brewing Company,Colorado Springs, 38°81'10" N, 104°82'74" W,7841
vicweeks,Amicas Pizza Microbrew & More,Salida,38°31'53" N, 105°59'17" W,8923
waterc55,Odell Brewing Company,Fort Collins,40°35'12.89" N, 105°03'28.61" W,5003
