id,type,name,latitude,longitude,elevation_ft,municipality,home_link,wikipedia_link
8CO8,small_airport,Koenig Airport,40.10829926,-102.7279968,4150,Yuma,,
K2V6,small_airport,Yuma Municipal Airport,40.10419846,-102.7129974,4136,Yuma,,
CD05,small_airport,Jackson Airfield,40.19440079,-102.697998,4075,Yuma,,
88CO,small_airport,Tranquila Airport,38.88610077,-104.2490005,6320,Yoder,,
0CD2,small_airport,Foxx Valley Airport,38.65250015,-104.2340012,5800,Yoder,,
97CO,small_airport,Peakview Airport,38.92499924,-104.1589966,6370,Yoder,,
K2V5,small_airport,Wray Municipal Airport,40.10029984,-102.2409973,3667,Wray,,
8CO0,small_airport,Kent Airport,40.25279999,-104.0029984,4480,Wiggins,,
89CO,small_airport,Vallery Airport,40.23889923,-103.9919968,4480,Wiggins,,
CO65,small_airport,Geary Ranch Airport,38.04579926,-105.4710007,8300,Westcliffe,,
KC08,small_airport,Silver West Airport,38.01110077,-105.3730011,8290,Westcliffe,,
4CO2,small_airport,Owl Canyon Gliderport,40.80469894,-104.9850006,5545,Wellington,,
6CO1,small_airport,Burnham Field,40.78139877,-104.9169998,5615,Wellington,,
9CO2,small_airport,Van Slyke Field,39.69609833,-104.4759979,5400,Watkins,,
4CO3,small_airport,Griffin Field,37.39170074,-102.2799988,3964,Walsh,,
K4V1,small_airport,Spanish Peaks Airfield,37.69660187,-104.7839966,6047,Walsenburg,,
64CO,small_airport,Cholla Airport,37.755556,-104.756389,5950,Walsenburg,,
CD48,small_airport,Cuchara Ranch Airport,37.78639984,-104.5940018,5827,Walsenburg,,
K33V,small_airport,Walden Jackson County Airport,40.75040054,-106.2710037,8153,Walden,,
53CO,small_airport,Rons Field,37.55310059,-102.3919983,4096,Two Buttes,,
KTAD,small_airport,Perry Stokes Airport,37.25939941,-104.3410034,5762,Trinidad,,http://en.wikipedia.org/wiki/Perry_Stokes_Airport
0CD5,small_airport,Pinon Canyon Airport,37.4905014,-104.1439972,5686,Trinidad,,
CO95,small_airport,Wilson Ranch Airport,38.05279922,-107.9800034,9580,Telluride,,
KTEX,small_airport,Telluride Regional Airport,37.9538002,-107.9079971,9070,Telluride,,
09CO,small_airport,Cottonwood Field,38.05559921,-103.6529999,4180,Swink,,
US-0077,small_airport,Sand Arroya Airport,38.45280075,-103.5299988,4570,Sugar City,,
CO97,small_airport,Comanche Springs Ranch Airport,39.72079849,-104.322998,5435,Strasburg,,
59CO,small_airport,Comanche Livestock Airport,39.83330154,-104.3170013,5230,Strasburg,,
CO38,small_airport,Comanche Airfield Llc Airport,39.74720001,-104.3130035,5350,Strasburg,,
3CO4,small_airport,Tercio Ranch Airstrip,37.07089996,-105.0189972,7957,Stonewall,,
3CO2,small_airport,Mertens Airport,40.61750031,-103.3330002,4192,Sterling,,
KSTK,small_airport,Sterling Municipal Airport,40.61529922,-103.2649994,4040,Sterling,https://www.codot.gov/programs/aeronautics/colorado-airport-system/general-aviation-airports/ga-airports-r-y/STK,
CD02,small_airport,Skyote Airport,40.75799942,-106.9720001,8200,Steamboat Springs,,
KSBS,small_airport,Steamboat Springs Bob Adams Field,40.5163002,-106.8659973,6882,Steamboat Springs,,http://en.wikipedia.org/wiki/Steamboat_Springs_Airport
CD99,small_airport,Lucky L Ranch Airport,40.35829926,-106.8300018,7000,Steamboat Springs,,
81CO,small_airport,Mesa 1 Airport,40.40610123,-106.8209991,7000,Steamboat Springs,,
1CD4,small_airport,Eagle Soaring Airport,40.50930023,-106.9430008,6600,Steam Boat Springs,,
K8V7,small_airport,Springfield Municipal Airport,37.45869827,-102.6179962,4390,Springfield,,
CD10,small_airport,Chapman Field,37.67499924,-106.5559998,8100,South Fork,,
CD69,small_airport,Morning Shadows Ranch Airport,37.74029922,-106.526001,8300,South Fork,,
CD15,small_airport,Schantz Airstrip,39.29639816,-104.125,5870,Simla,,
33CO,small_airport,Melby Ranch Airstrip,37.06499863,-105.4639969,8820,San Luis,,
CO11,small_airport,Granite Mountain Lodge Airport,38.41609955,-106.0579987,9000,Salida,,
KANK,small_airport,Harriet Alexander Field,38.53829956,-106.0490036,7523,Salida,http://cityofsalida.com/departments/harriet-alexander-field-airport/,http://en.wikipedia.org/wiki/Harriet_Alexander_Field
1CO7,small_airport,Dodsworth Airport,38.55139923,-105.9919968,7480,Salida,,
04V,small_airport,Saguache Municipal Airport,38.0990833,-106.1743889,7826,Saguache,,
95CO,small_airport,Mann Ranch Airport,37.86849976,-104.8359985,6000,Rye,,
US-0022,small_airport,Cable's Corner Airport,38.83570099,-104.1350021,6365,Rush,,
7CO6,small_airport,Vantage View Airport,38.760278,-104.101389,5780,Rush,,
08CO,small_airport,Terra Firma Airport,38.73249817,-104.0410004,5600,Rush,,
23CO,small_airport,High Mesa Airport,38.84389877,-103.9899979,6000,Rush,,
49CO,small_airport,Air Dusters Inc Airport,40.09329987,-104.375,4780,Roggen,,
US-0078,small_airport,Reid Ranches Airport,40.11660004,-104.3170013,4820,Roggen,,
